LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 1.0, 52349.0, 13436928, 1.0, 52001.0, 221184, 575.0, 52511.0, 211584, -20444.0, -1.0, 200705, -4194.0, -1.0, 36864, 52511.0, 75838.0, 186624,
1, 1.0, 129913.0, 6422528, 1.0, 129857.0, 114688, 63.0, 130367.0, 919296, -20444.0, -1.0, 200711, -2097.0, -1.0, 16384, 42354.0, 132415.0, 802823,
2, 1.0, 320232.0, 256000, 1.0, 320239.0, 2048000, 2558.0, 320749.0, 66000, -525.0, -1.0, 2049, -26210.0, 286839.0, 2048000, 320749.0, 320873.0, 1000,
