LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 257.0, 41097.0, 6718464, 1.0, 38118.0, 36864, 511.0, 41303.0, 559872, -20444.0, -1.0, 200704, -4194.0, -1.0, 36864, 19532.0, 43527.0, 559887,
1, 257.0, 58385.0, 3211264, 193.0, 55186.0, 16384, 511.0, 58591.0, 802816, -20444.0, -1.0, 200704, -2097.0, -1.0, 16384, 19532.0, 59615.0, 802831,
2, 257.0, 265593.0, 129024, 1.0, 265337.0, 2048000, 511.0, 265599.0, 8000, -525.0, -1.0, 2048, -26210.0, 235806.0, 2048000, 265607.0, 266106.0, 8000,
