LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 1.0, 254298.0, 1679616, 9.0, 254369.0, 221184, 15.0, 254723.0, 22784, -20444.0, -1.0, 200704, -4194.0, -1.0, 36864, 4735.0, 255011.0, 13437439,
1, 1.0, 43018.0, 200704, 9.0, 43281.0, 114688, 15.0, 43343.0, 16384, -20444.0, -1.0, 200704, -2097.0, -1.0, 16384, 1579.0, 44047.0, 6423039,
2, 1.0, 389138.0, 2048, 9.0, 390145.0, 2048000, 15.0, 390144.0, 1000, -525.0, -1.0, 2048, -26202.0, 349803.0, 2048000, 390655.0, 391155.0, 256007,
