LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 1.0, 798038.0, 1679616, 513.0, 798165.0, 13455360, 1023.0, 798615.0, 256, -20444.0, -1.0, 200715, -4194.0, -1.0, 36876, 561151.0, 812507.0, 373255,
1, 449.0, 503338.0, 200704, 513.0, 503657.0, 6422528, 1023.0, 504111.0, 2048, -20444.0, -1.0, 200704, -2097.0, -1.0, 16385, 165631.0, 506159.0, 802823,
2, 1.0, 6602.0, 2048, 513.0, 8113.0, 2048000, 1023.0, 8112.0, 1000, -525.0, -1.0, 2048, -25698.0, 7441.0, 2048000, 8119.0, 8618.0, 4000,
