LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 1.0, 471518.0, 1679616, 5.0, 471585.0, 110592, 7.0, 472451.0, 55552, -20444.0, -1.0, 200705, -4194.0, -1.0, 36864, 4383.0, 472740.0, 26874884,
1, 1.0, 81022.0, 200704, 5.0, 81281.0, 65536, 7.0, 81343.0, 16384, -20444.0, -1.0, 200704, -2097.0, -1.0, 16384, 1293.0, 82559.0, 12846079,
2, 1.0, 1037334.0, 2048, 5.0, 1038337.0, 2048000, 7.0, 1038336.0, 1000, -525.0, -1.0, 2049, -26206.0, 930421.0, 2048000, 531997.0, 1039604.0, 513051,
