LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 449.0, 1540016.0, 1679616, 1025.0, 1540655.0, 26873856, 2047.0, 1541105.0, 256, -20444.0, -1.0, 200706, -4194.0, -1.0, 36865, 1541105.0, 1587760.0, 186624,
1, 961.0, 1806622.0, 200704, 1025.0, 1806941.0, 12845056, 2047.0, 1807903.0, 1024, -20444.0, -1.0, 200705, -2097.0, -1.0, 16385, 592383.0, 1811999.0, 802819,
2, 1.0, 4074.0, 2048, 1025.0, 6097.0, 2048000, 2047.0, 6096.0, 1000, -525.0, -1.0, 2048, -25186.0, 5445.0, 2048000, 6099.0, 6598.0, 2000,
