LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 33.0, 55781.0, 1679616, 1.0, 52834.0, 36864, 63.0, 55843.0, 3359232, -20444.0, -1.0, 200704, -4194.0, -1.0, 36864, 4380.0, 57575.0, 3359359,
1, 33.0, 13177.0, 401408, 1.0, 10010.0, 16384, 63.0, 13303.0, 1605632, -20444.0, -1.0, 200704, -2097.0, -1.0, 16384, 2174.0, 13559.0, 1605759,
2, 33.0, 97665.0, 16384, 1.0, 97633.0, 2048000, 63.0, 97767.0, 64000, -525.0, -1.0, 2048, -26210.0, 85407.0, 2048000, 97791.0, 98290.0, 64000,
