LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 1025.0, 79005.0, 26873856, 449.0, 75514.0, 36864, 2047.0, 79455.0, 186624, -20444.0, -1.0, 200704, -4194.0, -1.0, 36864, 79455.0, 126110.0, 186624,
1, 1025.0, 330941.0, 12845056, 961.0, 327742.0, 16384, 2047.0, 331903.0, 802816, -20444.0, -1.0, 200704, -2097.0, -1.0, 16384, 108584.0, 335999.0, 802819,
2, 1025.0, 1025497.0, 512000, 1.0, 1024473.0, 2048000, 2047.0, 1025499.0, 2000, -525.0, -1.0, 2049, -26210.0, 917744.0, 2048000, 1025499.0, 1025998.0, 2000,
