LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 1.0, 160778.0, 1679616, 129.0, 160905.0, 3391488, 255.0, 160971.0, 256, -20444.0, -1.0, 200704, -4194.0, -1.0, 36864, 45055.0, 165583.0, 933151,
1, 65.0, 52702.0, 200704, 129.0, 53021.0, 1605632, 255.0, 53115.0, 8192, -20444.0, -1.0, 200704, -2097.0, -1.0, 16384, 17599.0, 53627.0, 802847,
2, 1.0, 19418.0, 2048, 129.0, 20545.0, 2048000, 255.0, 20544.0, 1000, -525.0, -1.0, 2048, -26082.0, 18530.0, 2048000, 20575.0, 21074.0, 16000,
