LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 1.0, 104966.0, 1679616, 65.0, 105093.0, 1695744, 127.0, 105127.0, 2304, -20444.0, -1.0, 200704, -4194.0, -1.0, 36864, 16383.0, 106823.0, 1679679,
1, 1.0, 21472.0, 200704, 65.0, 21791.0, 802816, 127.0, 21853.0, 16384, -20444.0, -1.0, 200704, -2097.0, -1.0, 16384, 7263.0, 22109.0, 802879,
2, 1.0, 36954.0, 2048, 65.0, 38017.0, 2048000, 127.0, 38016.0, 1000, -525.0, -1.0, 2048, -26146.0, 34083.0, 2048000, 38079.0, 38578.0, 32000,
