LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 5.0, 567201.0, 1679616, 1.0, 564521.0, 36864, 7.0, 567263.0, 26873856, -20444.0, -1.0, 200704, -4194.0, -1.0, 36865, 5164.0, 568362.0, 26881551,
1, 5.0, 65633.0, 200704, 1.0, 62494.0, 16384, 7.0, 65887.0, 12845056, -20444.0, -1.0, 200704, -2097.0, -1.0, 16384, 1158.0, 66656.0, 12846082,
2, 5.0, 526849.0, 2048, 1.0, 526845.0, 2048000, 7.0, 527847.0, 512000, -525.0, -1.0, 2048, -26210.0, 472201.0, 2048008, 270268.0, 528116.0, 513044,
