LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 1.0, 40437.0, 6718464, 1.0, 40353.0, 442368, 575.0, 40607.0, 199680, -20444.0, -1.0, 200704, -4194.0, -1.0, 36864, 40607.0, 52270.0, 186624,
1, 1.0, 69265.0, 3211264, 1.0, 69217.0, 212992, 63.0, 69471.0, 859392, -20444.0, -1.0, 200704, -2097.0, -1.0, 16384, 22640.0, 70495.0, 802831,
2, 1.0, 145764.0, 129024, 1.0, 145771.0, 2048000, 2302.0, 146025.0, 18136, -525.0, -1.0, 2048, -26210.0, 129527.0, 2048000, 146033.0, 146095.0, 1000,
