LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 129.0, 31925.0, 3359232, 1.0, 28946.0, 36864, 255.0, 32019.0, 933120, -20444.0, -1.0, 200704, -4194.0, -1.0, 36864, 9034.0, 36603.0, 933151,
1, 129.0, 27281.0, 1605632, 65.0, 24082.0, 16384, 255.0, 27375.0, 802816, -20444.0, -1.0, 200704, -2097.0, -1.0, 16384, 9034.0, 27887.0, 802847,
2, 129.0, 146913.0, 65536, 1.0, 146785.0, 2048000, 255.0, 146919.0, 16000, -525.0, -1.0, 2048, -26210.0, 128408.0, 2048000, 146943.0, 147442.0, 16000,
