LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 1.0, 104934.0, 1679616, 33.0, 105029.0, 847872, 63.0, 105127.0, 6400, -20444.0, -1.0, 200704, -4194.0, -1.0, 36864, 8191.0, 106823.0, 3359359,
1, 1.0, 21886.0, 200704, 33.0, 22173.0, 409600, 63.0, 22235.0, 16384, -20444.0, -1.0, 200704, -2097.0, -1.0, 16384, 3631.0, 22555.0, 1605759,
2, 1.0, 75002.0, 2048, 33.0, 76033.0, 2048000, 63.0, 76032.0, 1000, -525.0, -1.0, 2048, -26178.0, 68212.0, 2048000, 76159.0, 76658.0, 64000,
