LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 1.0, 76737.0, 26873856, 1.0, 75873.0, 110592, 575.0, 76895.0, 235968, -20444.0, -1.0, 200707, -4194.0, -1.0, 36864, 76895.0, 123550.0, 186624,
1, 1.0, 278077.0, 12845056, 1.0, 278017.0, 65536, 63.0, 279039.0, 1065984, -20444.0, -1.0, 200709, -2097.0, -1.0, 16384, 90212.0, 283135.0, 802819,
2, 1.0, 767474.0, 512000, 1.0, 767477.0, 2048000, 3070.0, 768499.0, 258000, -525.0, -1.0, 2058, -26210.0, 687475.0, 2048000, 768499.0, 768748.0, 1000,
