LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 1.0, 1166835.0, 1679616, 1.0, 1166895.0, 26873856, 575.0, 1166897.0, 936036, -20444.0, -1.0, 200704, -4194.0, -1.0, 36865, 1167857.0, 1168039.0, 186824,
1, 1.0, 853537.0, 200704, 1.0, 853789.0, 12845056, 63.0, 853791.0, 1608768, -20444.0, -1.0, 200704, -2097.0, -1.0, 16385, 279103.0, 854575.0, 803839,
2, 1.0, 2048.0, 2048, 1.0, 3047.0, 2048000, 2050.0, 3049.0, 2028, -525.0, -1.0, 2048, -26210.0, 2395.0, 2048000, 3073.0, 3073.0, 1000,
