LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 65.0, 27891.0, 1679616, 1.0, 24912.0, 36864, 127.0, 27953.0, 1679616, -20444.0, -1.0, 200704, -4194.0, -1.0, 36864, 4444.0, 29621.0, 1679679,
1, 65.0, 13241.0, 802816, 1.0, 10042.0, 16384, 127.0, 13303.0, 802816, -20444.0, -1.0, 200704, -2097.0, -1.0, 16384, 4444.0, 13559.0, 802879,
2, 65.0, 97729.0, 32768, 1.0, 97665.0, 2048000, 127.0, 97767.0, 32000, -525.0, -1.0, 2048, -26210.0, 85437.0, 2048000, 97791.0, 98290.0, 32000,
