LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 1.0, 154551.0, 1679616, 1.0, 154611.0, 6746112, 575.0, 154625.0, 236400, -20444.0, -1.0, 200704, -4194.0, -1.0, 36864, 154817.0, 155545.0, 186624,
1, 1.0, 65209.0, 200704, 1.0, 65449.0, 3211264, 63.0, 65463.0, 856128, -20444.0, -1.0, 200704, -2097.0, -1.0, 16384, 21439.0, 65527.0, 803071,
2, 1.0, 9002.0, 8192, 1.0, 9233.0, 2048000, 2062.0, 9247.0, 2088, -525.0, -1.0, 2048, -26210.0, 8199.0, 2048000, 9271.0, 9274.0, 1000,
