LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 513.0, 62681.0, 13436928, 1.0, 59702.0, 36864, 1023.0, 63135.0, 373248, -20444.0, -1.0, 200704, -4194.0, -1.0, 36864, 45124.0, 77023.0, 373255,
1, 513.0, 132857.0, 6422528, 449.0, 129658.0, 16384, 1023.0, 133311.0, 802816, -20444.0, -1.0, 200704, -2097.0, -1.0, 16384, 44094.0, 135359.0, 802823,
2, 513.0, 515493.0, 256000, 1.0, 514981.0, 2048000, 1023.0, 515499.0, 4000, -525.0, -1.0, 2048, -26210.0, 461331.0, 2048000, 515499.0, 515998.0, 4000,
