LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 1.0, 67373.0, 1679616, 1.0, 67433.0, 3391488, 575.0, 67463.0, 201344, -20444.0, -1.0, 200704, -4194.0, -1.0, 36864, 67527.0, 68984.0, 186624,
1, 1.0, 43385.0, 401408, 1.0, 43481.0, 1605632, 63.0, 43511.0, 834176, -20444.0, -1.0, 200704, -2097.0, -1.0, 16384, 14271.0, 43639.0, 802943,
2, 1.0, 17490.0, 16384, 1.0, 17593.0, 2048000, 2078.0, 17623.0, 2280, -525.0, -1.0, 2048, -26210.0, 15387.0, 2048000, 17647.0, 17654.0, 1000,
