LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 1.0, 150866.0, 1679616, 17.0, 150945.0, 442368, 31.0, 151043.0, 6400, -20444.0, -1.0, 200704, -4194.0, -1.0, 36864, 5631.0, 151843.0, 6718719,
1, 1.0, 27658.0, 200704, 17.0, 27929.0, 212992, 31.0, 27991.0, 16384, -20444.0, -1.0, 200704, -2097.0, -1.0, 16384, 2199.0, 28439.0, 3211519,
2, 1.0, 163338.0, 2048, 17.0, 164353.0, 2048000, 31.0, 164352.0, 1000, -525.0, -1.0, 2048, -26194.0, 147297.0, 2048000, 164607.0, 165106.0, 128000,
