LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 9.0, 247313.0, 1679616, 1.0, 244390.0, 36864, 15.0, 247375.0, 13436928, -20444.0, -1.0, 200704, -4194.0, -1.0, 36865, 4668.0, 247958.0, 13438769,
1, 9.0, 28785.0, 200704, 1.0, 25642.0, 16384, 15.0, 29039.0, 6422528, -20444.0, -1.0, 200704, -2097.0, -1.0, 16384, 1166.0, 29551.0, 6423039,
2, 9.0, 269313.0, 4096, 1.0, 269305.0, 2048000, 15.0, 269799.0, 256000, -525.0, -1.0, 2048, -26210.0, 240842.0, 2048008, 269823.0, 270323.0, 256018,
