LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 1.0, 33705.0, 3359232, 1.0, 33637.0, 847872, 575.0, 33763.0, 193984, -20444.0, -1.0, 200704, -4194.0, -1.0, 36864, 33763.0, 39594.0, 186624,
1, 1.0, 44305.0, 1605632, 1.0, 44273.0, 409600, 63.0, 44399.0, 834816, -20444.0, -1.0, 200704, -2097.0, -1.0, 16384, 14493.0, 44911.0, 802847,
2, 1.0, 70434.0, 65536, 1.0, 70441.0, 2048000, 2174.0, 70567.0, 6120, -525.0, -1.0, 2048, -26210.0, 61617.0, 2048000, 70591.0, 70622.0, 1000,
