LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 1.0, 398795.0, 1679616, 1.0, 398855.0, 13455360, 136.0, 398861.0, 376424, -20444.0, -1.0, 200704, -4194.0, -1.0, 36865, 399309.0, 399673.0, 186774,
1, 1.0, 227633.0, 200704, 1.0, 227881.0, 6422528, 63.0, 227887.0, 1006656, -20444.0, -1.0, 200704, -2097.0, -1.0, 16385, 74234.0, 228176.0, 803354,
2, 1.0, 4614.0, 4096, 1.0, 5101.0, 2048000, 2054.0, 5107.0, 2040, -525.0, -1.0, 2048, -26210.0, 4421.0, 2048000, 5131.0, 5132.0, 1000,
