LayerID, Total Cycles, Stall Cycles, Overall Util %, Mapping Efficiency %, Compute Util %,
0, 105155, 0, 24.957443773477248, 99.04891304347827, 19.997256892058598,
1, 21853, 0, 57.40172973962385, 100.0, 50.294695481335964,
2, 38079, 0, 1.3130596916935844, 1.5625, 1.2470071827613727,
