LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 1.0, 32201.0, 1679616, 1.0, 32229.0, 1695744, 575.0, 32291.0, 192512, -20444.0, -1.0, 200704, -4194.0, -1.0, 36864, 32291.0, 35206.0, 186624,
1, 1.0, 37177.0, 802816, 1.0, 37177.0, 802816, 63.0, 37239.0, 827904, -20444.0, -1.0, 200704, -2097.0, -1.0, 16384, 12223.0, 37495.0, 802879,
2, 1.0, 34658.0, 32768, 1.0, 34697.0, 2048000, 2110.0, 34759.0, 3048, -525.0, -1.0, 2048, -26210.0, 30349.0, 2048000, 34783.0, 34798.0, 1000,
