LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 1.0, 323576.0, 1679616, 257.0, 323703.0, 6746112, 511.0, 323897.0, 256, -20444.0, -1.0, 200705, -4194.0, -1.0, 36876, 151034.0, 326136.0, 559924,
1, 193.0, 152746.0, 200704, 257.0, 153065.0, 3211264, 511.0, 153271.0, 4096, -20444.0, -1.0, 200704, -2097.0, -1.0, 16387, 50559.0, 154295.0, 802831,
2, 1.0, 10938.0, 2048, 257.0, 12193.0, 2048000, 511.0, 12192.0, 1000, -525.0, -1.0, 2048, -25954.0, 11233.0, 2048000, 12207.0, 12706.0, 8000,
